
 -500; Elise Anna von Möwenburg; 1; Johann Justus von Tiefenfels; 1; Natalie  von Eichenwald; 1; Elisabeth Nelania von Bergetal; 21; Niroi Jacques von Kisatris; 1
 -440; Jasper Franz von Möwenburg; 5; Luise von Tiefenfels; 6; Natalie  von Eichenwald; 61; Elisabeth Nelania von Bergetal; 81; Niroi Jacques von Kisatris; 61
 -439; Jasper Franz von Möwenburg; 6; Luise von Tiefenfels; 7; Sophia von Eichenwald; 1; Elisabeth Nelania von Bergetal; 82; Niroi Jacques von Kisatris; 62
 -438; Jasper Franz von Möwenburg; 7; Luise von Tiefenfels; 8; Sophia von Eichenwald; 2; Elisabeth Nelania von Bergetal; 83; Niroi Jacques von Kisatris; 63
 -437; Jasper Franz von Möwenburg; 8; Luise von Tiefenfels; 9; Sophia von Eichenwald; 3; Elisabeth Nelania von Bergetal; 84; Niroi Jacques von Kisatris; 64
 -436; Jasper Franz von Möwenburg; 9; Luise von Tiefenfels; 10; Sophia von Eichenwald; 4; Elisabeth Nelania von Bergetal; 85; Niroi Jacques von Kisatris; 65
 -435; Jasper Franz von Möwenburg; 10; Luise von Tiefenfels; 11; Sophia von Eichenwald; 5; Elisabeth Nelania von Bergetal; 86; Niroi Jacques von Kisatris; 66
 -434; Jasper Franz von Möwenburg; 11; Luise von Tiefenfels; 12; Sophia von Eichenwald; 6; Elisabeth Nelania von Bergetal; 87; Niroi Jacques von Kisatris; 67
 -433; Jasper Franz von Möwenburg; 12; Luise von Tiefenfels; 13; Sophia von Eichenwald; 7; Magdalena von Bergetal; 1; Niroi Jacques von Kisatris; 68
 -432; Jasper Franz von Möwenburg; 13; Luise von Tiefenfels; 14; Sophia von Eichenwald; 8; Magdalena von Bergetal; 2; Niroi Jacques von Kisatris; 69
 -431; Jasper Franz von Möwenburg; 14; Luise von Tiefenfels; 15; Auguste von Eichenwald; 1; Magdalena von Bergetal; 3; Niroi Jacques von Kisatris; 70
 -430; Jasper Franz von Möwenburg; 15; Elise von Tiefenfels; 1; Auguste von Eichenwald; 2; Magdalena von Bergetal; 4; Christian Clement Martin von Kisatris; 1
 -429; Jasper Christoph Andreas Johannes Julius von Möwenburg; 1; Elise von Tiefenfels; 2; Auguste von Eichenwald; 3; Magdalena von Bergetal; 5; Christian Clement Martin von Kisatris; 2
 -428; Jasper Christoph Andreas Johannes Julius von Möwenburg; 2; Elise von Tiefenfels; 3; Auguste von Eichenwald; 4; Magdalena von Bergetal; 6; Christian Clement Martin von Kisatris; 3
 -427; Jasper Christoph Andreas Johannes Julius von Möwenburg; 3; Elise von Tiefenfels; 4; Auguste von Eichenwald; 5; Magdalena von Bergetal; 7; Christian Clement Martin von Kisatris; 4
 -426; Peter August von Möwenburg; 1; Elise von Tiefenfels; 5; Auguste von Eichenwald; 6; Magdalena von Bergetal; 8; Christian Clement Martin von Kisatris; 5
 -425; Peter August von Möwenburg; 2; Elise von Tiefenfels; 6; Auguste von Eichenwald; 7; Johann Joseph Richard Michael von Bergetal; 1; Christian Clement Martin von Kisatris; 6
 -424; Peter August von Möwenburg; 3; Charlotte Emma von Tiefenfels; 1; Auguste von Eichenwald; 8; Juliane Therese von Bergetal; 1; Christian Clement Martin von Kisatris; 7
 -423; Peter August von Möwenburg; 4; Charlotte Emma von Tiefenfels; 2; Auguste von Eichenwald; 9; Juliane Therese von Bergetal; 2; Christian Clement Martin von Kisatris; 8
 -422; Peter August von Möwenburg; 5; Charlotte Emma von Tiefenfels; 3; Auguste von Eichenwald; 10; Juliane Therese von Bergetal; 3; Christian Clement Martin von Kisatris; 9
 -421; Peter August von Möwenburg; 6; Charlotte Emma von Tiefenfels; 4; Auguste von Eichenwald; 11; Juliane Therese von Bergetal; 4; Christian Clement Martin von Kisatris; 10
 -420; Peter August von Möwenburg; 7; Charlotte Emma von Tiefenfels; 5; Auguste von Eichenwald; 12; Juliane Therese von Bergetal; 5; Christian Clement Martin von Kisatris; 11
 -419; Peter August von Möwenburg; 8; Charlotte Emma von Tiefenfels; 6; Auguste von Eichenwald; 13; Juliane Therese von Bergetal; 6; Christian Clement Martin von Kisatris; 12
 -418; Peter August von Möwenburg; 9; Charlotte Emma von Tiefenfels; 7; Auguste von Eichenwald; 14; Juliane Therese von Bergetal; 7; Christian Clement Martin von Kisatris; 13
 -417; Peter August von Möwenburg; 10; Charlotte Emma von Tiefenfels; 8; Auguste von Eichenwald; 15; Juliane Therese von Bergetal; 8; Christian Clement Martin von Kisatris; 14
 -416; Peter August von Möwenburg; 11; Charlotte Emma von Tiefenfels; 9; Auguste von Eichenwald; 16; Juliane Therese von Bergetal; 9; Christian Clement Martin von Kisatris; 15
 -415; Peter August von Möwenburg; 12; Charlotte Emma von Tiefenfels; 10; Auguste von Eichenwald; 17; Juliane Therese von Bergetal; 10; Christian Clement Martin von Kisatris; 16
 -414; Peter August von Möwenburg; 13; Charlotte Emma von Tiefenfels; 11; Dior Elurin Hans von Eichenwald; 1; Juliane Therese von Bergetal; 11; Christian Clement Martin von Kisatris; 17
 -413; Peter August von Möwenburg; 14; Paul Anton von Tiefenfels; 1; Dior Elurin Hans von Eichenwald; 2; Juliane Therese von Bergetal; 12; Christian Clement Martin von Kisatris; 18
 -412; Peter August von Möwenburg; 15; Paul Anton von Tiefenfels; 2; Dior Elurin Hans von Eichenwald; 3; Juliane Therese von Bergetal; 13; Christian Clement Martin von Kisatris; 19
 -411; Peter August von Möwenburg; 16; Paul Anton von Tiefenfels; 3; Dior Elurin Hans von Eichenwald; 4; Juliane Therese von Bergetal; 14; Christian Clement Martin von Kisatris; 20
 -410; Peter August von Möwenburg; 17; Paul Anton von Tiefenfels; 4; Dior Elurin Hans von Eichenwald; 5; Juliane Therese von Bergetal; 15; Christian Clement Martin von Kisatris; 21
 -409; Peter August von Möwenburg; 18; Paul Anton von Tiefenfels; 5; Dior Elurin Hans von Eichenwald; 6; Juliane Therese von Bergetal; 16; Christian Clement Martin von Kisatris; 22
 -408; Peter August von Möwenburg; 19; Paul Anton von Tiefenfels; 6; Dior Elurin Hans von Eichenwald; 7; Juliane Therese von Bergetal; 17; Christian Clement Martin von Kisatris; 23
 -407; Peter August von Möwenburg; 20; Paul Anton von Tiefenfels; 7; Dior Elurin Hans von Eichenwald; 8; Juliane Therese von Bergetal; 18; Christian Clement Martin von Kisatris; 24
 -406; Peter August von Möwenburg; 21; Paul Anton von Tiefenfels; 8; Dior Elurin Hans von Eichenwald; 9; Juliane Therese von Bergetal; 19; Christian Clement Martin von Kisatris; 25
 -405; Peter August von Möwenburg; 22; Paul Anton von Tiefenfels; 9; Dior Elurin Hans von Eichenwald; 10; Juliane Therese von Bergetal; 20; Christian Clement Martin von Kisatris; 26
 -404; Peter August von Möwenburg; 23; Paul Anton von Tiefenfels; 10; Dior Elurin Hans von Eichenwald; 11; Juliane Therese von Bergetal; 21; Christian Clement Martin von Kisatris; 27
 -403; Peter August von Möwenburg; 24; Paul Anton von Tiefenfels; 11; Dior Elurin Hans von Eichenwald; 12; Juliane Therese von Bergetal; 22; Christian Clement Martin von Kisatris; 28
 -402; Peter August von Möwenburg; 25; Paul Anton von Tiefenfels; 12; Dior Elurin Hans von Eichenwald; 13; Juliane Therese von Bergetal; 23; Christian Clement Martin von Kisatris; 29
 -401; Peter August von Möwenburg; 26; Anton Louis Martin von Tiefenfels; 1; Dior Elurin Hans von Eichenwald; 14; Juliane Therese von Bergetal; 24; Christian Clement Martin von Kisatris; 30
 -400; Peter August von Möwenburg; 27; Anton Louis Martin von Tiefenfels; 2; Dior Elurin Hans von Eichenwald; 15; Juliane Therese von Bergetal; 25; Christian Clement Martin von Kisatris; 31
 -399; Peter August von Möwenburg; 28; Anton Louis Martin von Tiefenfels; 3; Dior Elurin Hans von Eichenwald; 16; Juliane Therese von Bergetal; 26; Christian Clement Martin von Kisatris; 32
 -398; Peter August von Möwenburg; 29; Anton Louis Martin von Tiefenfels; 4; Dior Elurin Hans von Eichenwald; 17; Juliane Therese von Bergetal; 27; Christian Clement Martin von Kisatris; 33
 -397; Peter August von Möwenburg; 30; Anton Louis Martin von Tiefenfels; 5; Dior Elurin Hans von Eichenwald; 18; Juliane Therese von Bergetal; 28; Christian Clement Martin von Kisatris; 34
 -396; Peter August von Möwenburg; 31; Anton Louis Martin von Tiefenfels; 6; Dior Elurin Hans von Eichenwald; 19; Juliane Therese von Bergetal; 29; Christian Clement Martin von Kisatris; 35
 -395; Peter August von Möwenburg; 32; Anton Louis Martin von Tiefenfels; 7; Dior Elurin Hans von Eichenwald; 20; Juliane Therese von Bergetal; 30; Christian Clement Martin von Kisatris; 36
 -394; Peter August von Möwenburg; 33; Anton Louis Martin von Tiefenfels; 8; Dior Elurin Hans von Eichenwald; 21; Juliane Therese von Bergetal; 31; Christian Clement Martin von Kisatris; 37
 -393; Peter August von Möwenburg; 34; Anton Louis Martin von Tiefenfels; 9; Dior Elurin Hans von Eichenwald; 22; Juliane Therese von Bergetal; 32; Christian Clement Martin von Kisatris; 38
 -392; Peter August von Möwenburg; 35; Anton Louis Martin von Tiefenfels; 10; Dior Elurin Hans von Eichenwald; 23; Juliane Therese von Bergetal; 33; Christian Clement Martin von Kisatris; 39
 -391; Peter August von Möwenburg; 36; Anton Louis Martin von Tiefenfels; 11; Dior Elurin Hans von Eichenwald; 24; Juliane Therese von Bergetal; 34; Johanna von Kisatris; 1
 -390; Peter August von Möwenburg; 37; Anton Louis Martin von Tiefenfels; 12; Dior Elurin Hans von Eichenwald; 25; Margarete Maria Johanna Gertrud von Bergetal; 1; Johanna von Kisatris; 2
 -389; Peter August von Möwenburg; 38; Anton Louis Martin von Tiefenfels; 13; Dior Elurin Hans von Eichenwald; 26; Margarete Maria Johanna Gertrud von Bergetal; 2; Johanna von Kisatris; 3
 -388; Peter August von Möwenburg; 39; Anton Louis Martin von Tiefenfels; 14; Dior Elurin Hans von Eichenwald; 27; Margarete Maria Johanna Gertrud von Bergetal; 3; Johanna von Kisatris; 4
 -387; Peter August von Möwenburg; 40; Anton Louis Martin von Tiefenfels; 15; Dior Elurin Hans von Eichenwald; 28; Margarete Maria Johanna Gertrud von Bergetal; 4; Johanna von Kisatris; 5
 -386; Peter August von Möwenburg; 41; Anton Louis Martin von Tiefenfels; 16; Dior Elurin Hans von Eichenwald; 29; Margarete Maria Johanna Gertrud von Bergetal; 5; Johanna von Kisatris; 6
 -385; Peter August von Möwenburg; 42; Anton Louis Martin von Tiefenfels; 17; Dior Elurin Hans von Eichenwald; 30; Margarete Maria Johanna Gertrud von Bergetal; 6; Jade von Kisatris; 1
 -384; Peter August von Möwenburg; 43; Anton Louis Martin von Tiefenfels; 18; Dior Elurin Hans von Eichenwald; 31; Margarete Maria Johanna Gertrud von Bergetal; 7; Jade von Kisatris; 2
 -383; Katharina von Möwenburg; 1; Anton Louis Martin von Tiefenfels; 19; Dior Elurin Hans von Eichenwald; 32; Margarete Maria Johanna Gertrud von Bergetal; 8; Jade von Kisatris; 3
 -382; Katharina von Möwenburg; 2; Anton Louis Martin von Tiefenfels; 20; Dior Elurin Hans von Eichenwald; 33; Margarete Maria Johanna Gertrud von Bergetal; 9; Jade von Kisatris; 4
 -381; Katharina von Möwenburg; 3; Anton Louis Martin von Tiefenfels; 21; Dior Elurin Hans von Eichenwald; 34; Margarete Maria Johanna Gertrud von Bergetal; 10; Jade von Kisatris; 5
 -380; Katharina von Möwenburg; 4; Anton Louis Martin von Tiefenfels; 22; Dior Elurin Hans von Eichenwald; 35; Margarete Maria Johanna Gertrud von Bergetal; 11; Jade von Kisatris; 6
 -379; Katharina von Möwenburg; 5; Anton Louis Martin von Tiefenfels; 23; Dior Elurin Hans von Eichenwald; 36; Margarete Maria Johanna Gertrud von Bergetal; 12; Jade von Kisatris; 7
 -378; Katharina von Möwenburg; 6; Anton Louis Martin von Tiefenfels; 24; Dior Elurin Hans von Eichenwald; 37; Margarete Maria Johanna Gertrud von Bergetal; 13; Jade von Kisatris; 8
 -377; Katharina von Möwenburg; 7; Anton Louis Martin von Tiefenfels; 25; Dior Elurin Hans von Eichenwald; 38; Margarete Maria Johanna Gertrud von Bergetal; 14; Jade von Kisatris; 9
 -376; Katharina von Möwenburg; 8; Anton Louis Martin von Tiefenfels; 26; Dior Elurin Hans von Eichenwald; 39; Margarete Maria Johanna Gertrud von Bergetal; 15; Jade von Kisatris; 10
 -375; Katharina von Möwenburg; 9; Anton Louis Martin von Tiefenfels; 27; Dior Elurin Hans von Eichenwald; 40; Margarete Maria Johanna Gertrud von Bergetal; 16; Jade von Kisatris; 11
 -374; Katharina von Möwenburg; 10; Anton Louis Martin von Tiefenfels; 28; Dior Elurin Hans von Eichenwald; 41; Margarete Maria Johanna Gertrud von Bergetal; 17; Jade von Kisatris; 12
 -373; Katharina von Möwenburg; 11; Anton Louis Martin von Tiefenfels; 29; Dior Elurin Hans von Eichenwald; 42; Edda Auguste von Bergetal; 1; Jade von Kisatris; 13
 -372; Katharina von Möwenburg; 12; Anton Louis Martin von Tiefenfels; 30; Dior Elurin Hans von Eichenwald; 43; Edda Auguste von Bergetal; 2; Sophie von Kisatris; 1
 -371; Katharina von Möwenburg; 13; Anton Louis Martin von Tiefenfels; 31; Dior Elurin Hans von Eichenwald; 44; Edda Auguste von Bergetal; 3; Sophie von Kisatris; 2
 -370; Katharina von Möwenburg; 14; Anton Louis Martin von Tiefenfels; 32; Dior Elurin Hans von Eichenwald; 45; Edda Auguste von Bergetal; 4; Sophie von Kisatris; 3
 -369; Katharina von Möwenburg; 15; Anton Louis Martin von Tiefenfels; 33; Dior Elurin Hans von Eichenwald; 46; Edda Auguste von Bergetal; 5; Sophie von Kisatris; 4
 -368; Katharina von Möwenburg; 16; Anton Louis Martin von Tiefenfels; 34; Dior Elurin Hans von Eichenwald; 47; Edda Auguste von Bergetal; 6; Sophie von Kisatris; 5
 -367; Katharina von Möwenburg; 17; Anton Louis Martin von Tiefenfels; 35; Dior Elurin Hans von Eichenwald; 48; Edda Auguste von Bergetal; 7; Sophie von Kisatris; 6
 -366; Katharina von Möwenburg; 18; Anton Louis Martin von Tiefenfels; 36; Dior Elurin Hans von Eichenwald; 49; Edda Auguste von Bergetal; 8; Sophie von Kisatris; 7
 -365; Katharina von Möwenburg; 19; Anton Louis Martin von Tiefenfels; 37; Dior Elurin Hans von Eichenwald; 50; Edda Auguste von Bergetal; 9; Sophie von Kisatris; 8
 -364; Katharina von Möwenburg; 20; Anton Louis Martin von Tiefenfels; 38; Dior Elurin Hans von Eichenwald; 51; Edda Auguste von Bergetal; 10; Sophie von Kisatris; 9
 -363; Katharina von Möwenburg; 21; Anton Louis Martin von Tiefenfels; 39; Dior Elurin Hans von Eichenwald; 52; Edda Auguste von Bergetal; 11; Sophie von Kisatris; 10
 -362; Katharina von Möwenburg; 22; Anton Louis Martin von Tiefenfels; 40; Dior Elurin Hans von Eichenwald; 53; Edda Auguste von Bergetal; 12; Sophie von Kisatris; 11
 -361; Katharina von Möwenburg; 23; Anton Louis Martin von Tiefenfels; 41; Dior Elurin Hans von Eichenwald; 54; Edda Auguste von Bergetal; 13; Sophie von Kisatris; 12
 -360; Jakob Theodor Richard von Möwenburg; 1; Anton Louis Martin von Tiefenfels; 42; Dior Elurin Hans von Eichenwald; 55; Edda Auguste von Bergetal; 14; Sophie von Kisatris; 13
 -359; Jakob Theodor Richard von Möwenburg; 2; Anton Louis Martin von Tiefenfels; 43; Dior Elurin Hans von Eichenwald; 56; Edda Auguste von Bergetal; 15; Charlotte von Kisatris; 1
 -358; Jakob Theodor Richard von Möwenburg; 3; Anton Louis Martin von Tiefenfels; 44; Dior Elurin Hans von Eichenwald; 57; Edda Auguste von Bergetal; 16; Charlotte von Kisatris; 2
 -357; Jakob Theodor Richard von Möwenburg; 4; Helene Christiane von Tiefenfels; 1; Dior Elurin Hans von Eichenwald; 58; Edda Auguste von Bergetal; 17; Charlotte von Kisatris; 3
 -356; Jakob Theodor Richard von Möwenburg; 5; Helene Christiane von Tiefenfels; 2; Dior Elurin Hans von Eichenwald; 59; Edda Auguste von Bergetal; 18; Charlotte von Kisatris; 4
 -355; Jakob Theodor Richard von Möwenburg; 6; Helene Christiane von Tiefenfels; 3; Dior Elurin Hans von Eichenwald; 60; Edda Auguste von Bergetal; 19; Charlotte von Kisatris; 5
 -354; Jakob Theodor Richard von Möwenburg; 7; Christian Johann Carl Julien von Tiefenfels; 1; Dior Elurin Hans von Eichenwald; 61; Edda Auguste von Bergetal; 20; Charlotte von Kisatris; 6
 -353; Jakob Theodor Richard von Möwenburg; 8; Christian Johann Carl Julien von Tiefenfels; 2; Dior Elurin Hans von Eichenwald; 62; Edda Auguste von Bergetal; 21; Charlotte von Kisatris; 7
